date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:38	12904/12904	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Sep%202018%2013:23:37%20GMT	http://localhost/nakiranda/	C:/My%20Web%20Sites/Patience/localhost/nakiranda/index.html	(from )
16:23:39	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Sep%202018%2013:23:37%20GMT	http://localhost/robots.txt		(from )
16:23:48	45/45	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2014%20Sep%202018%2013:23:39%20GMT	http://localhost/nakiranda/xmlrpc.php	C:/My%20Web%20Sites/Patience/localhost/nakiranda/xmlrpc.php	(from http://localhost/nakiranda/)
16:23:48	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-574f5050ec082%22	http://localhost/nakiranda/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from http://localhost/nakiranda/)
16:23:48	1385/1385	---M--	200	added ('OK')	text/css	etag:%22569-574f50832a5f2%22	http://localhost/nakiranda/wp-content/plugins/menu-image/menu-image.css?ver=1.1	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/plugins/menu-image/menu-image4963.css	(from http://localhost/nakiranda/)
16:23:48	1010/1010	---M--	200	added ('OK')	text/css	etag:%223f2-5751ec3679fd9%22	http://localhost/nakiranda/wp-content/plugins/widget-options/assets/css/widget-options.css	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/plugins/widget-options/assets/css/widget-options.css	(from http://localhost/nakiranda/)
16:23:49	20233/20233	---M--	200	added ('OK')	text/css	etag:%224f09-573d358671e80%22	http://localhost/nakiranda/wp-content/themes/personal-info/style.css?ver=4.9.8	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/themes/personal-info/style5010.css	(from http://localhost/nakiranda/)
16:23:49	272060/272060	---M--	200	added ('OK')	text/css	etag:%22426bc-573d358671e80%22	http://localhost/nakiranda/wp-content/themes/personal-info/css/all.css?ver=4.9.8	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/themes/personal-info/css/all5010.css	(from http://localhost/nakiranda/)
16:23:51	1090/1090	---M--	200	added ('OK')	application/rss+xml	etag:%2268d6e735f0db9a2a2a3c82dde8fefb9a%22	http://localhost/nakiranda/feed/	C:/My%20Web%20Sites/Patience/localhost/nakiranda/feed/index.html	(from http://localhost/nakiranda/)
16:23:51	743/743	---M--	200	added ('OK')	application/rss+xml	etag:%2246a4d365b5f4bbfac4ebfc6b9afdccd9%22	http://localhost/nakiranda/comments/feed/	C:/My%20Web%20Sites/Patience/localhost/nakiranda/comments/feed/index.html	(from http://localhost/nakiranda/)
16:23:51	27392/27392	---M--	200	added ('OK')	text/css	etag:%226b00-534b35d7fcc00%22	http://localhost/nakiranda/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=4.12	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min0147.css	(from http://localhost/nakiranda/)
16:23:53	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-57469ca5baced%22	http://localhost/nakiranda/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/nakiranda/)
16:23:53	851/851	---M--	200	added ('OK')	text/xml	date:Fri,%2014%20Sep%202018%2013:23:52%20GMT	http://localhost/nakiranda/xmlrpc.php?rsd	C:/My%20Web%20Sites/Patience/localhost/nakiranda/xmlrpc0db0.php	(from http://localhost/nakiranda/)
16:23:53	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-57469c5895171%22	http://localhost/nakiranda/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-includes/wlwmanifest.xml	(from http://localhost/nakiranda/)
16:23:55	2258/2258	---M--	200	added ('OK')	application/json	date:Fri,%2014%20Sep%202018%2013:23:54%20GMT	http://localhost/nakiranda/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fnakiranda%2F	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-json/oembed/1.0/embed4cbd.json	(from http://localhost/nakiranda/)
16:23:56	2353/2353	---M--	200	added ('OK')	text/xml	date:Fri,%2014%20Sep%202018%2013:23:54%20GMT	http://localhost/nakiranda/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fnakiranda%2F&format=xml	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-json/oembed/1.0/embeda42b	(from http://localhost/nakiranda/)
16:23:56	1051/1051	---M--	200	added ('OK')	image/jpeg	etag:%2241b-575096a25505a%22	http://localhost/nakiranda/wp-content/uploads/2018/09/cropped-Patience-Loy-2-32x32.jpg	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/uploads/2018/09/cropped-Patience-Loy-2-32x32.jpg	(from http://localhost/nakiranda/)
16:23:57	5681/5681	---M--	200	added ('OK')	image/jpeg	etag:%221631-575096a2284e5%22	http://localhost/nakiranda/wp-content/uploads/2018/09/cropped-Patience-Loy-2-192x192.jpg	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/uploads/2018/09/cropped-Patience-Loy-2-192x192.jpg	(from http://localhost/nakiranda/)
16:23:57	5429/5429	---M--	200	added ('OK')	image/jpeg	etag:%221535-575096a2459f9%22	http://localhost/nakiranda/wp-content/uploads/2018/09/cropped-Patience-Loy-2-180x180.jpg	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-content/uploads/2018/09/cropped-Patience-Loy-2-180x180.jpg	(from http://localhost/nakiranda/)
16:23:59	17618/17618	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Sep%202018%2013:23:57%20GMT	http://localhost/nakiranda/+256701686219	C:/My%20Web%20Sites/Patience/localhost/nakiranda/+256701686219	(from http://localhost/nakiranda/)
16:24:01	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-57469ca69caeb%22	http://localhost/nakiranda/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/nakiranda/)
16:24:02	54146/54146	---MC-	200	added ('OK')	application/json	date:Fri,%2014%20Sep%202018%2013:23:52%20GMT	http://localhost/nakiranda/wp-json/	C:/My%20Web%20Sites/Patience/localhost/nakiranda/wp-json/index.html	(from http://localhost/nakiranda/)
16:24:02	17351/17351	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Sep%202018%2013:23:59%20GMT	http://localhost/nakiranda/about-me/	C:/My%20Web%20Sites/Patience/localhost/nakiranda/about-me/index.html	(from http://localhost/nakiranda/)
